Date,Symbol,High,Low,Open,Close,PP,R1,S1,R2,S2,Breakout_R1
2023-01-02,RELIANCE.NS,2579.00,2548.20,2550.00,2575.90,,,,,,FALSE
2023-01-03,RELIANCE.NS,2573.00,2547.80,2565.05,2557.05,,,,,,FALSE
2023-01-04,RELIANCE.NS,2561.05,2514.00,2557.00,2518.55,,,,,,FALSE
2023-01-05,RELIANCE.NS,2536.40,2504.00,2523.50,2514.05,,,,,,FALSE
2023-01-06,RELIANCE.NS,2547.95,2518.30,2526.65,2536.90,,,,,,FALSE
2023-01-09,RELIANCE.NS,2602.00,2543.35,2545.30,2596.80,2539.97,2575.93,2500.93,2614.97,2464.97,FALSE
2023-01-10,RELIANCE.NS,2606.00,2546.00,2606.00,2558.40,2539.97,2575.93,2500.93,2614.97,2464.97,FALSE
2023-01-11,RELIANCE.NS,2558.00,2521.10,2552.50,2526.15,2539.97,2575.93,2500.93,2614.97,2464.97,FALSE
2023-01-12,RELIANCE.NS,2532.50,2465.00,2524.85,2471.60,2539.97,2575.93,2500.93,2614.97,2464.97,FALSE
2023-01-13,RELIANCE.NS,2472.90,2434.60,2458.40,2467.60,2539.97,2575.93,2500.93,2614.97,2464.97,FALSE
2023-01-16,RELIANCE.NS,2479.65,2427.00,2472.70,2444.10,2502.73,2570.87,2399.47,2674.13,2331.33,FALSE
2023-01-17,RELIANCE.NS,2483.00,2450.60,2458.00,2478.80,2502.73,2570.87,2399.47,2674.13,2331.33,FALSE
2023-01-18,RELIANCE.NS,2491.10,2460.35,2473.50,2474.70,2502.73,2570.87,2399.47,2674.13,2331.33,FALSE
2023-01-19,RELIANCE.NS,2481.15,2456.65,2472.90,2472.05,2502.73,2570.87,2399.47,2674.13,2331.33,FALSE
2023-01-20,RELIANCE.NS,2475.00,2437.25,2475.00,2442.65,2502.73,2570.87,2399.47,2674.13,2331.33,FALSE
2023-01-23,RELIANCE.NS,2466.20,2425.00,2449.00,2430.30,2453.58,2480.17,2416.07,2517.68,2389.48,FALSE
2023-01-24,RELIANCE.NS,2443.65,2387.35,2440.00,2415.95,2453.58,2480.17,2416.07,2517.68,2389.48,FALSE
2023-01-25,RELIANCE.NS,2414.70,2380.00,2412.45,2382.55,2453.58,2480.17,2416.07,2517.68,2389.48,FALSE
2023-01-27,RELIANCE.NS,2387.35,2311.65,2384.40,2337.35,2453.58,2480.17,2416.07,2517.68,2389.48,FALSE
2023-01-30,RELIANCE.NS,2371.90,2301.00,2331.70,2359.75,2371.73,2431.82,2277.27,2526.28,2217.18,FALSE
2023-01-31,RELIANCE.NS,2387.65,2341.00,2382.00,2353.85,2371.73,2431.82,2277.27,2526.28,2217.18,FALSE
2023-02-01,RELIANCE.NS,2379.95,2305.00,2379.95,2339.90,2371.73,2431.82,2277.27,2526.28,2217.18,FALSE
2023-02-02,RELIANCE.NS,2348.00,2311.00,2318.00,2326.95,2371.73,2431.82,2277.27,2526.28,2217.18,FALSE
2023-02-03,RELIANCE.NS,2349.00,2293.00,2349.00,2329.00,2371.73,2431.82,2277.27,2526.28,2217.18,FALSE
2023-02-06,RELIANCE.NS,2321.00,2305.80,2315.00,2311.45,2336.55,2380.10,2285.45,2431.20,2241.90,FALSE
2023-02-07,RELIANCE.NS,2327.40,2293.00,2312.00,2305.90,2336.55,2380.10,2285.45,2431.20,2241.90,FALSE
2023-02-08,RELIANCE.NS,2359.90,2307.00,2313.00,2351.95,2336.55,2380.10,2285.45,2431.20,2241.90,FALSE
2023-02-09,RELIANCE.NS,2370.85,2334.00,2353.45,2356.05,2336.55,2380.10,2285.45,2431.20,2241.90,FALSE
2023-02-10,RELIANCE.NS,2354.90,2321.30,2354.90,2336.65,2336.55,2380.10,2285.45,2431.20,2241.90,FALSE
2023-02-13,RELIANCE.NS,2350.00,2313.55,2340.20,2323.35,2333.50,2374.00,2296.15,2411.35,2255.65,FALSE
2023-02-14,RELIANCE.NS,2381.90,2323.65,2329.95,2378.10,2333.50,2374.00,2296.15,2411.35,2255.65,FALSE
2023-02-15,RELIANCE.NS,2437.20,2373.00,2376.00,2431.95,2333.50,2374.00,2296.15,2411.35,2255.65,FALSE
2023-02-16,RELIANCE.NS,2463.80,2425.05,2449.45,2430.05,2333.50,2374.00,2296.15,2411.35,2255.65,FALSE
2023-02-17,RELIANCE.NS,2447.50,2410.60,2420.00,2440.20,2333.50,2374.00,2296.15,2411.35,2255.65,FALSE
2023-02-20,RELIANCE.NS,2449.75,2410.10,2445.00,2414.40,2405.85,2498.15,2347.90,2556.10,2255.60,FALSE
2023-02-21,RELIANCE.NS,2446.80,2412.35,2424.00,2434.10,2405.85,2498.15,2347.90,2556.10,2255.60,FALSE
2023-02-22,RELIANCE.NS,2430.00,2375.05,2425.95,2378.90,2405.85,2498.15,2347.90,2556.10,2255.60,FALSE
2023-02-23,RELIANCE.NS,2394.75,2361.35,2378.00,2367.50,2405.85,2498.15,2347.90,2556.10,2255.60,FALSE
2023-02-24,RELIANCE.NS,2396.15,2368.00,2372.00,2383.70,2405.85,2498.15,2347.90,2556.10,2255.60,FALSE
2023-02-27,RELIANCE.NS,2389.65,2351.70,2382.00,2367.85,2398.27,2435.18,2346.78,2486.67,2309.87,FALSE
2023-02-28,RELIANCE.NS,2367.00,2313.65,2356.10,2322.55,2398.27,2435.18,2346.78,2486.67,2309.87,FALSE
2023-03-01,RELIANCE.NS,2345.50,2323.25,2344.00,2343.90,2398.27,2435.18,2346.78,2486.67,2309.87,FALSE
2023-03-02,RELIANCE.NS,2351.65,2321.60,2337.00,2326.05,2398.27,2435.18,2346.78,2486.67,2309.87,FALSE
2023-03-03,RELIANCE.NS,2393.45,2341.55,2349.15,2385.40,2398.27,2435.18,2346.78,2486.67,2309.87,FALSE
2023-03-06,RELIANCE.NS,2424.60,2400.00,2400.00,2408.70,2364.17,2414.68,2334.88,2443.97,2284.37,FALSE
2023-03-08,RELIANCE.NS,2419.00,2385.00,2408.70,2417.35,2364.17,2414.68,2334.88,2443.97,2284.37,FALSE
2023-03-09,RELIANCE.NS,2416.90,2355.10,2416.00,2359.25,2364.17,2414.68,2334.88,2443.97,2284.37,FALSE
2023-03-10,RELIANCE.NS,2344.00,2315.05,2341.50,2322.70,2364.17,2414.68,2334.88,2443.97,2284.37,FALSE
2023-03-13,RELIANCE.NS,2344.00,2275.00,2329.00,2284.50,2354.12,2393.18,2283.63,2463.67,2244.57,FALSE
2023-03-14,RELIANCE.NS,2304.95,2269.05,2280.00,2275.95,2354.12,2393.18,2283.63,2463.67,2244.57,FALSE
2023-03-15,RELIANCE.NS,2298.30,2227.40,2284.10,2237.05,2354.12,2393.18,2283.63,2463.67,2244.57,FALSE
2023-03-16,RELIANCE.NS,2254.00,2202.20,2243.00,2225.90,2354.12,2393.18,2283.63,2463.67,2244.57,FALSE
2023-03-17,RELIANCE.NS,2251.95,2212.70,2244.75,2223.10,2354.12,2393.18,2283.63,2463.67,2244.57,FALSE
2023-03-20,RELIANCE.NS,2220.00,2180.00,2215.00,2201.25,2256.43,2310.67,2168.87,2398.23,2114.63,FALSE
2023-03-21,RELIANCE.NS,2274.00,2217.00,2218.95,2269.70,2256.43,2310.67,2168.87,2398.23,2114.63,FALSE
2023-03-22,RELIANCE.NS,2291.45,2270.00,2285.00,2276.60,2256.43,2310.67,2168.87,2398.23,2114.63,FALSE
2023-03-23,RELIANCE.NS,2269.90,2243.05,2268.00,2247.80,2256.43,2310.67,2168.87,2398.23,2114.63,FALSE
2023-03-24,RELIANCE.NS,2250.00,2198.00,2245.25,2203.30,2256.43,2310.67,2168.87,2398.23,2114.63,FALSE
2023-03-27,RELIANCE.NS,2254.00,2200.20,2217.50,2237.55,2224.92,2269.83,2158.38,2336.37,2113.47,FALSE
2023-03-28,RELIANCE.NS,2256.50,2237.00,2245.00,2248.00,2224.92,2269.83,2158.38,2336.37,2113.47,FALSE
2023-03-29,RELIANCE.NS,2244.80,2211.10,2239.00,2234.70,2224.92,2269.83,2158.38,2336.37,2113.47,FALSE
2023-03-31,RELIANCE.NS,2343.45,2254.70,2255.00,2331.05,2224.92,2269.83,2158.38,2336.37,2113.47,TRUE
2023-04-03,RELIANCE.NS,2349.00,2315.00,2345.00,2331.45,2291.57,2382.93,2239.68,2434.82,2148.32,FALSE
