Date,Symbol,Week,Close,Next_close_4,20day_avg_movement,25day_avg_movement,30day_avg_movement,35day_avg_movement,40day_avg_movement
2023-03-31,RELIANCE.NS,2023-03-27,2331.05,2324.85,2394.3,2409.32,2415.293333,2426.162857,2432.2225
2023-07-03,RELIANCE.NS,2023-07-03,2615.7,2633.6,2621.65,2602.972,2594.716667,2579.285714,2566.326316
2023-07-10,RELIANCE.NS,2023-07-10,2735.05,2740.7,2566.155,2563.612,2550.793333,2538.460606,
2023-01-11,TCS.NS,2023-01-09,3328.7,3378.4,3449.7875,3455.792,3441.315,3428.632857,3405.34875
2023-03-31,TCS.NS,2023-03-27,3205.9,3263.4,3194.865,3207.026,3216.581667,3229.882857,3236.79
2023-07-14,TCS.NS,2023-07-10,3514.65,3463.3,3423.98,3417.228,3411.384483,,
2023-08-04,TCS.NS,2023-07-31,3443.55,3442.1,,,,,
2023-03-29,HDFCBANK.NS,2023-03-27,1587.8,1666.35,1672.6525,1669.97,1665.261667,1659.18,1652.41125
2023-04-05,HDFCBANK.NS,2023-04-03,1653.75,1684.9,1670.975,1666.918,1659.746667,1653.885714,1647.92
2023-06-21,HDFCBANK.NS,2023-06-19,1635.6,1658.6,1675.59,1671.296,1667.163333,1659.541429,1650.32
2023-04-25,ICICIBANK.NS,2023-04-24,913.45,922.1,941.4125,941.62,941.205,939.5842857,938.07375
2023-08-23,ICICIBANK.NS,2023-08-21,966.85,967.75,,,,,
2023-05-11,HINDUNILVR.NS,2023-05-08,2592.4,2661.75,2661.315,2666.704,2663.945,2671.728571,2671.95
2023-06-01,HINDUNILVR.NS,2023-05-29,2697.9,2716.2,2680.92,2679.436,2680.071667,2665.934286,2653.11125
2023-02-02,INFY.NS,2023-01-30,1583.75,1590.5,1546.445,1523.172,1501.938333,1486.195714,1477.6725
2023-03-31,INFY.NS,2023-03-27,1427.95,1427.6,1274.04,1270.066,1271.935,1278.182857,1280.68375
2023-05-22,INFY.NS,2023-05-22,1292.8,1317.45,1295.76,1296.522,1303.625,1314.418571,1326.8125
2023-06-30,INFY.NS,2023-06-26,1335.5,1343.9,1372.1125,1375.492,1379.051667,1383.781429,1388.108974
2023-01-24,ITC.NS,2023-01-23,338.95,352.35,379.45,380.35,380.9,380.5,380.48875
2023-04-11,ITC.NS,2023-04-10,396,398.5,419.355,420.562,424.7766667,427.2514286,429.05
2023-04-21,ITC.NS,2023-04-17,408.25,416,427.15,430.824,432.645,434.4971429,436.3325
