,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount,Date,Day 1 Total Amount,Day 2 Total Amount,Day 3 Total Amount,Day 4 Total Amount,Day 5 Total Amount,Day 6 Total Amount,Day 7 Total Amount,Day 8 Total Amount,Day 9 Total Amount,Day 10 Total Amount,Day 11 Total Amount,Day 12 Total Amount,Day 13 Total Amount,Day 14 Total Amount,Day 15 Total Amount,Day 16 Total Amount,Day 17 Total Amount,Day 18 Total Amount,Day 19 Total Amount,Day 20 Total Amount,Day 21 Total Amount,Day 22 Total Amount,Day 23 Total Amount,Day 24 Total Amount,Day 25 Total Amount,Day 26 Total Amount,Day 27 Total Amount,Day 28 Total Amount,Day 29 Total Amount,Day 30 Total Amount,Day 31 Total Amount,Day 32 Total Amount,Day 33 Total Amount,Day 34 Total Amount,Day 35 Total Amount,Day 36 Total Amount,Day 37 Total Amount,Day 38 Total Amount,Day 39 Total Amount,Day 40 Total Amount
0,2023-04-25,3336.1,ABB.NS,2023-05-02,3442.15,2023-06-26,4285.35,40th Day,40,3270.0425,7,25000,5902.4,30902.4,2023-04-25,25000,25080.15,26422.4,26936.9,27523.15,27554.3,27613.1,27928.1,28502.8,27893.1,28278.45,28337.25,28187.45,28168.2,28157.35,28294.2,28146.5,28498.6,28938.2,29123,29112.15,29786.25,28517.5,29055.8,29135.95,29308.5,29962.65,29691.05,29963.35,29965.1,31143.55,31353.9,31100.5,31263.25,31198.5,31536.95,31470.1,30798.45,30582.85,30902.4
1,2023-05-04,3645.35,ABB.NS,2023-05-10,3815.45,2023-07-05,4390.6,40th Day,40,3624.6775,6,25000,3450.9,28450.9,2023-05-04,25000,25270,25762.6,25240,25570.3,25620.7,25492.3,25475.8,25466.5,25583.8,25457.2,25759,26135.8,26294.2,26284.9,26862.7,25775.2,26236.6,26305.3,26453.2,27013.9,26781.1,27014.5,27016,28026.1,28206.4,27989.2,28128.7,28073.2,28363.3,28306,27730.3,27545.5,27819.4,27874.3,27874.3,28645.3,28574.8,28271.5,28450.9
2,2023-06-13,4319.8,ABB.NS,2023-06-19,4327.65,2023-08-14,4354.7,40th Day,40,4111.2675,5,25000,135.25,25135.25,2023-06-13,25000,25241.75,25194,24714.25,24560.25,24788.5,24834.25,24834.25,25476.75,25418,25165.25,25314.75,25362.5,25360.5,25210,25858,26004,25398.25,25280.75,25456.5,25816,25829.25,24381.75,24490.75,24972,25027.25,25354.25,25362.25,25942.75,26125.75,25960,25401.75,25226.5,25552,25991.5,25745,25966.5,25887.25,25995,25135.25
3,2023-04-12,1847.25,ADANIENT.NS,2023-04-19,1853.85,2023-06-14,2457.15,40th Day,40,1761.1575,13,25000,7842.9,32842.9,2023-04-12,25000,24857.65,24338.95,24325.3,24879.75,24922.65,24989.6,25924.3,25858,24806.95,25746.2,25863.85,25437.45,25549.25,25497.9,26700.4,26441.05,25808.6,25458.9,25593.45,25469.95,26328.6,31139.25,35138.05,33082.75,33886.8,33976.5,33842.6,33353.8,33313.5,33297.9,32685.6,32541.3,32537.4,32614.1,32478.9,32764.9,33202.35,32913.1,32842.9
4,2023-05-22,2326.1,ADANIENT.NS,2023-05-26,2544.35,2023-06-19,2417.1325,Stop Loss,17,2417.1325,9,25000,-1144.9575,23855.0425,2023-05-22,25000,24907.3,24568.9,24541,24530.2,24106.3,24006.4,24003.7,24056.8,23963.2,24161.2,24464.05,24263.8,24215.2,24471.7,24687.25,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425
5,2023-01-16,2089.8,ADANIGREEN.NS,2023-01-20,1975.6,2023-01-25,1876.82,Stop Loss,4,1876.82,12,25000,-1185.36,23814.64,2023-01-16,25000,24475,24294.4,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64
6,2023-03-15,740.4,ADANIGREEN.NS,2023-03-21,891.05,2023-04-03,846.4975,Stop Loss,9,846.4975,28,25000,-1247.47,23752.53,2023-03-15,25000,26247.4,27556.4,28872.4,27627.8,26248.8,25092.4,24722.8,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53
7,2023-03-21,891.05,ADANIGREEN.NS,2023-03-27,984.9,2023-03-28,935.655,Stop Loss,2,935.655,25,25000,-1231.125,23768.875,2023-03-21,25000,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875
8,2023-04-10,899.15,ADANIGREEN.NS,2023-04-17,962.55,2023-04-24,914.4225,Stop Loss,6,914.4225,25,25000,-1203.1875,23796.8125,2023-04-10,25000,24742.5,24331.25,24262.5,23841.25,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125
9,2023-05-22,941.75,ADANIGREEN.NS,2023-05-26,963.35,2023-07-21,995.55,40th Day,40,915.1825,25,25000,805,25805,2023-05-22,25000,25362.5,25087.5,25358.75,25765,25505,25612.5,25712.5,25555,25316.25,25007.5,24943.75,24798.75,24857.5,24981.25,25292.5,24925,24958.75,25341.25,25287.5,24912.5,25127.5,24905,24905,24563.75,24487.5,24566.25,24621.25,24971.25,24691.25,24902.5,25045,24780,24592.5,25046.25,25048.75,25260,25407.5,25541.25,25805
