,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount,Date,Day 1 Total Amount,Day 2 Total Amount,Day 3 Total Amount,Day 4 Total Amount,Day 5 Total Amount,Day 6 Total Amount,Day 7 Total Amount,Day 8 Total Amount,Day 9 Total Amount,Day 10 Total Amount,Day 11 Total Amount,Day 12 Total Amount,Day 13 Total Amount,Day 14 Total Amount,Day 15 Total Amount,Day 16 Total Amount,Day 17 Total Amount,Day 18 Total Amount,Day 19 Total Amount,Day 20 Total Amount,Day 21 Total Amount,Day 22 Total Amount,Day 23 Total Amount,Day 24 Total Amount,Day 25 Total Amount,Day 26 Total Amount,Day 27 Total Amount,Day 28 Total Amount,Day 29 Total Amount,Day 30 Total Amount,Day 31 Total Amount,Day 32 Total Amount,Day 33 Total Amount,Day 34 Total Amount,Day 35 Total Amount,Day 36 Total Amount,Day 37 Total Amount,Day 38 Total Amount,Day 39 Total Amount,Day 40 Total Amount
0,2023-04-25,3336.1,ABB.NS,2023-05-02,3442.15,2023-06-26,4285.35,40th Day,40.0,3270.0425,7.0,25000,5902.4000000000015,30902.4,2023-04-25,25000,25080.149999999998,26422.399999999998,26936.899999999998,27523.149999999998,27554.3,27613.1,27928.1,28502.800000000003,27893.1,28278.45,28337.25,28187.45,28168.2,28157.35,28294.2,28146.5,28498.6,28938.2,29123.0,29112.149999999998,29786.249999999996,28517.5,29055.8,29135.949999999997,29308.499999999996,29962.649999999998,29691.049999999996,29963.34999999999,29965.09999999999,31143.549999999996,31353.899999999998,31100.499999999993,31263.249999999993,31198.499999999993,31536.949999999997,31470.099999999995,30798.449999999997,30582.849999999995,30902.399999999998
1,2023-05-04,3645.35,ABB.NS,2023-05-10,3815.45,2023-07-05,4390.6,40th Day,40.0,3624.6775,6.0,25000,3450.9000000000033,28450.9,2023-05-04,25000,25270.0,25762.600000000002,25240.0,25570.300000000003,25620.700000000004,25492.300000000003,25475.800000000003,25466.5,25583.800000000003,25457.200000000004,25759.000000000004,26135.800000000003,26294.200000000004,26284.9,26862.7,25775.200000000004,26236.600000000006,26305.300000000003,26453.200000000004,27013.900000000005,26781.100000000006,27014.500000000004,27016.000000000004,28026.100000000006,28206.40000000001,27989.200000000004,28128.700000000004,28073.200000000004,28363.300000000007,28306.000000000007,27730.30000000001,27545.500000000007,27819.40000000001,27874.300000000007,28573.90000000001,28645.300000000007,28574.800000000007,28271.500000000007,28450.90000000001
2,2023-06-13,4319.8,ABB.NS,2023-06-19,4327.65,2023-08-14,4354.7,40th Day,40.0,4111.267499999999,5.0,25000,135.2500000000009,25135.25,2023-06-13,25000,25241.75,25194.0,24714.25,24560.25,24788.500000000004,24834.25,25417.25,25476.75,25418.0,25165.25,25314.750000000004,25362.5,25360.5,25210.0,25858.0,26004.0,25398.25,25280.75,25456.5,25816.000000000004,25829.25,24381.75,24490.75,24972.0,25027.25,25354.25,25362.25,25942.749999999996,26125.75,25959.999999999996,25401.75,25226.5,25552.0,25991.5,25745.0,25966.5,25887.250000000004,25995.0,25135.25
3,2023-04-12,1847.25,ADANIENT.NS,2023-04-19,1853.85,2023-06-14,2457.15,40th Day,40.0,1761.1574999999998,13.0,25000,7842.900000000002,32842.9,2023-04-12,25000,24857.65,24338.95,24325.300000000003,24879.75,24922.65,24989.6,25924.3,25857.999999999996,24806.949999999997,25746.199999999997,25863.849999999995,25437.449999999997,25549.249999999996,25497.899999999998,26700.399999999998,26441.049999999996,25808.599999999995,25458.899999999998,25593.449999999997,25469.949999999997,26328.599999999995,31139.249999999993,35138.04999999999,33082.74999999999,33886.79999999999,33976.49999999999,33842.6,33353.799999999996,33313.5,33297.9,32685.600000000002,32541.299999999996,32537.399999999998,32614.1,32478.899999999998,32764.899999999998,33202.35,32913.1,32842.899999999994
4,2023-05-22,2326.1,ADANIENT.NS,2023-05-26,2544.35,2023-06-19,2417.1324999999997,Stop Loss,17.0,2417.1324999999997,9.0,25000,-1144.9575000000018,23855.0425,2023-05-22,25000,24907.300000000003,24568.9,24541.000000000004,24530.200000000004,24106.300000000007,24006.4,24003.700000000004,24056.800000000007,23963.200000000004,24161.200000000004,24464.050000000007,24263.800000000007,24215.200000000004,24471.700000000004,24687.250000000004,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425,23855.0425
5,2023-01-16,2089.8,ADANIGREEN.NS,2023-01-20,1975.6,2023-01-25,1876.82,Stop Loss,4.0,1876.82,12.0,25000,-1185.3599999999997,23814.64,2023-01-16,25000,24475.0,24294.4,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64,23814.64
6,2023-03-15,740.4,ADANIGREEN.NS,2023-03-21,891.05,2023-04-03,846.4975,Stop Loss,9.0,846.4975,28.0,25000,-1247.4700000000003,23752.53,2023-03-15,25000,26247.4,27556.4,28872.399999999998,27627.8,26248.8,25092.4,24722.8,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53,23752.53
7,2023-03-21,891.05,ADANIGREEN.NS,2023-03-27,984.9,2023-03-28,935.655,Stop Loss,2.0,935.655,25.0,25000,-1231.125,23768.875,2023-03-21,25000,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875,23768.875
8,2023-04-10,899.15,ADANIGREEN.NS,2023-04-17,962.55,2023-04-24,914.4224999999999,Stop Loss,6.0,914.4224999999999,25.0,25000,-1203.1875000000014,23796.8125,2023-04-10,25000,24742.5,24331.25,24262.5,23841.250000000004,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125,23796.8125
9,2023-05-22,941.75,ADANIGREEN.NS,2023-05-26,963.35,2023-07-21,995.55,40th Day,40.0,915.1825,25.0,25000,804.9999999999983,25805.0,2023-05-22,25000,25362.5,25087.5,25358.75,25765.0,25504.999999999996,25612.499999999996,25712.499999999996,25554.999999999996,25316.249999999996,25007.499999999996,24943.749999999996,24798.749999999996,24857.499999999996,24981.249999999996,25292.499999999996,24924.999999999996,24958.749999999996,25341.249999999996,25287.499999999996,24912.499999999996,25127.499999999996,24904.999999999993,24832.499999999993,24563.749999999993,24487.499999999993,24566.249999999993,24621.249999999993,24971.249999999993,24691.249999999993,24902.499999999993,25044.999999999993,24779.999999999993,24592.499999999993,25046.249999999996,25048.749999999993,25259.999999999993,25407.499999999993,25541.249999999993,25804.999999999993
10,2023-07-20,985.0,ADANIGREEN.NS,2023-07-26,1140.4,2023-08-02,1083.38,Stop Loss,6.0,1083.38,21.0,25000,-1197.4199999999996,23802.58,2023-07-20,25000,24554.8,23996.199999999997,24010.899999999998,23879.649999999998,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58,23802.58
11,2023-07-25,1088.05,ADANIGREEN.NS,2023-07-31,1093.3,2023-08-03,1038.635,Stop Loss,4.0,1038.635,22.0,25000,-1202.6299999999992,23797.370000000003,2023-07-25,25000,24862.5,24101.300000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003,23797.370000000003
12,2023-04-12,657.75,ADANIPORTS.NS,2023-04-19,658.4,2023-06-14,739.35,40th Day,40.0,625.4799999999999,37.0,25000,2995.1500000000015,27995.15,2023-04-12,25000,25284.9,25118.4,25477.3,25482.850000000002,25233.100000000002,25049.95,25847.3,25854.7,25416.25,25789.95,25943.5,25987.9,26187.7,26206.2,26864.8,26539.2,26319.05,26058.2,25969.4,25242.350000000002,26098.9,27638.100000000002,27799.05,27214.45,27445.7,27532.65,27926.7,27799.05,27976.65,27725.05,27893.4,27974.8,28219.0,28157.95,27886.0,27832.350000000002,28096.9,27939.65,27995.15
