,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount
0,2023-04-25,3336.1,ABB.NS,2023-05-02,3442.15,2023-06-26,4285.35,40th Day,40.0,3270.0425,7.0,25000,5902.4000000000015,30902.4
1,2023-05-04,3645.35,ABB.NS,2023-05-10,3815.45,2023-07-05,4390.6,40th Day,40.0,3624.6775,6.0,25000,3450.9000000000033,28450.9
2,2023-06-13,4319.8,ABB.NS,2023-06-19,4327.65,2023-08-14,4354.7,40th Day,40.0,4111.267499999999,5.0,25000,135.2500000000009,25135.25
3,2023-04-12,1847.25,ADANIENT.NS,2023-04-19,1853.85,2023-06-14,2457.15,40th Day,40.0,1761.1574999999998,13.0,25000,7842.900000000002,32842.9
4,2023-05-22,2326.1,ADANIENT.NS,2023-05-26,2544.35,2023-06-19,2417.1324999999997,Stop Loss,17.0,2417.1324999999997,9.0,25000,-1144.9575000000018,23855.0425
5,2023-01-16,2089.8,ADANIGREEN.NS,2023-01-20,1975.6,2023-01-25,1876.82,Stop Loss,4.0,1876.82,12.0,25000,-1185.3599999999997,23814.64
6,2023-03-15,740.4,ADANIGREEN.NS,2023-03-21,891.05,2023-04-03,846.4975,Stop Loss,9.0,846.4975,28.0,25000,-1247.4700000000003,23752.53
7,2023-03-21,891.05,ADANIGREEN.NS,2023-03-27,984.9,2023-03-28,935.655,Stop Loss,2.0,935.655,25.0,25000,-1231.125,23768.875
8,2023-04-10,899.15,ADANIGREEN.NS,2023-04-17,962.55,2023-04-24,914.4224999999999,Stop Loss,6.0,914.4224999999999,25.0,25000,-1203.1875000000014,23796.8125
9,2023-05-22,941.75,ADANIGREEN.NS,2023-05-26,963.35,2023-07-21,995.55,40th Day,40.0,915.1825,25.0,25000,804.9999999999983,25805.0
10,2023-07-20,985.0,ADANIGREEN.NS,2023-07-26,1140.4,2023-08-02,1083.38,Stop Loss,6.0,1083.38,21.0,25000,-1197.4199999999996,23802.58
11,2023-07-25,1088.05,ADANIGREEN.NS,2023-07-31,1093.3,2023-08-03,1038.635,Stop Loss,4.0,1038.635,22.0,25000,-1202.6299999999992,23797.370000000003
12,2023-04-12,657.75,ADANIPORTS.NS,2023-04-19,658.4,2023-06-14,739.35,40th Day,40.0,625.4799999999999,37.0,25000,2995.1500000000015,27995.15
13,2023-05-22,729.7,ADANIPORTS.NS,2023-05-26,726.85,2023-07-21,728.45,40th Day,40.0,690.5074999999999,34.0,25000,54.40000000000077,25054.4
15,2023-03-08,186.6,ADANIPOWER.NS,2023-03-14,204.35,2023-03-20,194.1325,Stop Loss,5.0,194.1325,122.0,25000,-1246.535,23753.465
16,2023-06-07,274.85,ADANIPOWER.NS,2023-06-13,267.8,2023-06-23,254.41,Stop Loss,9.0,254.41,93.0,25000,-1245.2700000000013,23754.73
18,2023-04-05,379.95,AMBUJACEM.NS,2023-04-12,396.05,2023-04-21,376.2475,Stop Loss,7.0,376.2475,63.0,25000,-1247.5575000000006,23752.4425
19,2023-05-22,423.9,AMBUJACEM.NS,2023-05-26,424.55,2023-07-21,416.1,40th Day,40.0,403.3225,58.0,25000,-490.09999999999934,24509.9
20,2023-06-06,459.15,AMBUJACEM.NS,2023-06-12,456.3,2023-06-23,433.485,Stop Loss,10.0,433.485,54.0,25000,-1232.0099999999998,23767.99
21,2023-04-28,4513.7,APOLLOHOSP.NS,2023-05-05,4602.5,2023-06-30,5098.2,40th Day,40.0,4372.375,5.0,25000,2478.499999999999,27478.5
22,2023-05-05,4602.5,APOLLOHOSP.NS,2023-05-11,4595.3,2023-07-06,5283.05,40th Day,40.0,4365.535,5.0,25000,3438.75,28438.75
23,2023-06-01,4814.25,APOLLOHOSP.NS,2023-06-07,5026.45,2023-08-02,4996.75,40th Day,40.0,4775.1275,4.0,25000,-118.79999999999927,24881.2
24,2023-06-15,5218.75,APOLLOHOSP.NS,2023-06-21,5118.75,2023-08-14,4862.8125,Stop Loss,38.0,4862.8125,4.0,25000,-1023.75,23976.25
25,2023-05-04,2982.85,ASIANPAINT.NS,2023-05-10,3041.4,2023-07-05,3374.4,40th Day,40.0,2889.33,8.0,25000,2664.0,27664.0
26,2023-05-11,3139.75,ASIANPAINT.NS,2023-05-17,3092.45,2023-07-12,3406.75,40th Day,40.0,2937.8275,8.0,25000,2514.4000000000015,27514.4
27,2023-05-31,3192.95,ASIANPAINT.NS,2023-06-06,3212.75,2023-08-01,3342.95,40th Day,40.0,3052.1124999999997,7.0,25000,911.3999999999987,25911.399999999998
28,2023-06-13,3262.85,ASIANPAINT.NS,2023-06-19,3309.7,2023-08-14,3202.6,40th Day,40.0,3144.2149999999997,7.0,25000,-749.6999999999994,24250.3
29,2023-07-18,3513.45,ASIANPAINT.NS,2023-07-24,3543.7,2023-08-01,3366.515,Stop Loss,7.0,3366.515,7.0,25000,-1240.2949999999996,23759.705
